op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.004, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.003, 0.003, 0.003, 0.003, 0.003, 0.005, 0.005, 0.006, 0.005, 0.006, 0.004, 0.004, 0.003, 0.004, 0.003, 0.005, 0.004, 0.004, 0.004, 0.005, 0.002, 0.002, 0.002, 0.001, 0.002
17, 0.010, 0.010, 0.010, 0.010, 0.010, 0.004, 0.004, 0.003, 0.004, 0.004, 0.008, 0.008, 0.009, 0.009, 0.016, 0.009, 0.007, 0.011, 0.006, 0.006, 0.009, 0.008, 0.008, 0.008, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.016, 0.016, 0.016, 0.016, 0.016, 0.005, 0.005, 0.005, 0.005, 0.005, 0.013, 0.012, 0.012, 0.012, 0.013, 0.007, 0.008, 0.007, 0.007, 0.007, 0.017, 0.012, 0.012, 0.009, 0.014, 0.003, 0.003, 0.002, 0.002, 0.003
38, 0.025, 0.025, 0.026, 0.025, 0.025, 0.008, 0.008, 0.007, 0.008, 0.008, 0.019, 0.019, 0.019, 0.019, 0.019, 0.011, 0.013, 0.012, 0.012, 0.012, 0.026, 0.025, 0.026, 0.022, 0.026, 0.004, 0.003, 0.003, 0.003, 0.003
58, 0.040, 0.041, 0.041, 0.040, 0.041, 0.013, 0.012, 0.013, 0.012, 0.013, 0.031, 0.030, 0.029, 0.030, 0.029, 0.018, 0.017, 0.019, 0.018, 0.019, 0.041, 0.054, 0.039, 0.047, 0.052, 0.006, 0.005, 0.004, 0.004, 0.004
87, 0.066, 0.066, 0.067, 0.066, 0.067, 0.020, 0.021, 0.019, 0.022, 0.022, 0.047, 0.045, 0.046, 0.047, 0.046, 0.027, 0.024, 0.026, 0.026, 0.023, 0.086, 0.085, 0.087, 0.079, 0.061, 0.007, 0.007, 0.006, 0.005, 0.006
