op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
2, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.001, 0.002, 0.001, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.007, 0.007, 0.006, 0.007, 0.003, 0.003, 0.003, 0.004, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.011, 0.011, 0.011, 0.010, 0.011, 0.005, 0.005, 0.005, 0.004, 0.004, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005, 0.007, 0.010, 0.007, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.017, 0.017, 0.017, 0.017, 0.017, 0.007, 0.008, 0.008, 0.007, 0.006, 0.014, 0.012, 0.011, 0.011, 0.011, 0.015, 0.016, 0.016, 0.015, 0.018, 0.008, 0.006, 0.007, 0.006, 0.006, 0.003, 0.003, 0.002, 0.002, 0.002
38, 0.040, 0.039, 0.035, 0.030, 0.039, 0.018, 0.014, 0.014, 0.013, 0.010, 0.018, 0.021, 0.023, 0.023, 0.023, 0.031, 0.017, 0.021, 0.020, 0.019, 0.011, 0.011, 0.012, 0.009, 0.009, 0.004, 0.003, 0.003, 0.003, 0.003
58, 0.064, 0.060, 0.056, 0.052, 0.053, 0.013, 0.015, 0.014, 0.015, 0.015, 0.027, 0.027, 0.027, 0.027, 0.027, 0.033, 0.023, 0.026, 0.028, 0.028, 0.013, 0.012, 0.012, 0.012, 0.012, 0.004, 0.004, 0.003, 0.003, 0.003
87, 0.074, 0.074, 0.073, 0.074, 0.074, 0.025, 0.027, 0.022, 0.026, 0.021, 0.044, 0.044, 0.044, 0.044, 0.044, 0.047, 0.045, 0.048, 0.039, 0.045, 0.018, 0.018, 0.018, 0.018, 0.018, 0.005, 0.005, 0.004, 0.004, 0.004
131, 0.118, 0.118, 0.118, 0.121, 0.117, 0.042, 0.036, 0.036, 0.037, 0.033, 0.071, 0.074, 0.073, 0.071, 0.074, 0.092, 0.093, 0.101, 0.092, 0.114, 0.043, 0.040, 0.040, 0.038, 0.040, 0.012, 0.008, 0.008, 0.007, 0.007
196, 0.272, 0.258, 0.251, 0.253, 0.252, 0.083, 0.089, 0.075, 0.081, 0.080, 0.153, 0.154, 0.143, 0.113, 0.113, 0.098, 0.100, 0.100, 0.099, 0.102, 0.041, 0.039, 0.039, 0.039, 0.039, 0.012, 0.009, 0.009, 0.008, 0.008
295, 0.302, 0.299, 0.302, 0.300, 0.372, 0.121, 0.121, 0.115, 0.112, 0.103, 0.246, 0.220, 0.181, 0.181, 0.181, 0.167, 0.161, 0.161, 0.151, 0.163, 0.061, 0.058, 0.058, 0.058, 0.058, 0.017, 0.013, 0.013, 0.012, 0.012
443, 0.479, 0.478, 0.477, 0.476, 0.478, 0.143, 0.158, 0.139, 0.145, 0.130, 0.291, 0.289, 0.289, 0.289, 0.288, 0.251, 0.267, 0.267, 0.238, 0.225, 0.092, 0.089, 0.089, 0.088, 0.088, 0.078, 0.026, 0.025, 0.024, 0.024
666, 0.989, 0.789, 0.772, 0.784, 0.775, 0.238, 0.219, 0.221, 0.210, 0.219, 0.464, 0.461, 0.465, 0.464, 0.465, 0.416, 0.409, 0.436, 0.388, 0.386, 0.167, 0.131, 0.130, 0.130, 0.130, 0.036, 0.031, 0.030, 0.029, 0.028
999, 1.220, 1.204, 1.196, 1.200, 1.229, 0.417, 0.309, 0.390, 0.377, 0.374, 0.759, 0.803, 0.729, 0.735, 0.732, 0.739, 0.636, 0.626, 0.682, 0.585, 0.249, 0.196, 0.196, 0.197, 0.196, 0.054, 0.047, 0.045, 0.045, 0.044
