op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.001, 0.001, 0.001, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.003, 0.002, 0.002, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.003, 0.003, 0.004, 0.003, 0.005, 0.005, 0.005, 0.005, 0.005, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.022, 0.009, 0.009, 0.009, 0.009, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.007, 0.007, 0.007, 0.004, 0.005, 0.005, 0.006, 0.006, 0.009, 0.009, 0.009, 0.009, 0.009, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.013, 0.013, 0.013, 0.013, 0.013, 0.004, 0.003, 0.004, 0.004, 0.004, 0.011, 0.011, 0.011, 0.011, 0.011, 0.008, 0.008, 0.008, 0.008, 0.006, 0.014, 0.013, 0.014, 0.013, 0.013, 0.002, 0.002, 0.002, 0.002, 0.002
38, 0.021, 0.021, 0.021, 0.021, 0.021, 0.007, 0.006, 0.006, 0.005, 0.005, 0.016, 0.016, 0.016, 0.016, 0.016, 0.011, 0.011, 0.010, 0.010, 0.012, 0.021, 0.021, 0.021, 0.021, 0.021, 0.003, 0.002, 0.002, 0.002, 0.002
58, 0.034, 0.034, 0.034, 0.034, 0.035, 0.010, 0.010, 0.007, 0.009, 0.007, 0.026, 0.025, 0.025, 0.025, 0.025, 0.015, 0.015, 0.017, 0.013, 0.016, 0.033, 0.033, 0.033, 0.033, 0.033, 0.003, 0.003, 0.003, 0.003, 0.003
87, 0.054, 0.054, 0.055, 0.054, 0.054, 0.014, 0.014, 0.013, 0.014, 0.012, 0.038, 0.038, 0.038, 0.038, 0.038, 0.021, 0.023, 0.019, 0.021, 0.022, 0.050, 0.050, 0.050, 0.050, 0.049, 0.005, 0.004, 0.004, 0.004, 0.003
131, 0.087, 0.086, 0.086, 0.087, 0.086, 0.023, 0.021, 0.019, 0.022, 0.019, 0.059, 0.059, 0.059, 0.059, 0.059, 0.032, 0.035, 0.034, 0.034, 0.034, 0.075, 0.075, 0.074, 0.074, 0.075, 0.006, 0.005, 0.005, 0.005, 0.005
196, 0.137, 0.137, 0.137, 0.137, 0.137, 0.028, 0.033, 0.038, 0.033, 0.028, 0.090, 0.090, 0.090, 0.090, 0.090, 0.050, 0.048, 0.050, 0.053, 0.049, 0.113, 0.113, 0.113, 0.140, 0.113, 0.008, 0.008, 0.007, 0.007, 0.007
