op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.002, 0.001, 0.001, 0.003, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.003, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.003, 0.002, 0.001, 0.001, 0.002, 0.002
5, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002
7, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.005, 0.004, 0.004, 0.003, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
11, 0.005, 0.005, 0.004, 0.005, 0.005, 0.006, 0.006, 0.008, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.005, 0.008, 0.008, 0.007, 0.007, 0.008, 0.003, 0.003, 0.003, 0.003, 0.003
17, 0.006, 0.006, 0.005, 0.009, 0.034, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.007, 0.006, 0.007, 0.006, 0.006, 0.011, 0.012, 0.012, 0.010, 0.013, 0.004, 0.003, 0.003, 0.003, 0.004
25, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.009, 0.009, 0.008, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.010, 0.009, 0.009, 0.009, 0.013, 0.020, 0.020, 0.019, 0.018, 0.020, 0.005, 0.005, 0.005, 0.004, 0.005
38, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.013, 0.013, 0.012, 0.016, 0.012, 0.012, 0.012, 0.012, 0.012, 0.014, 0.014, 0.017, 0.014, 0.013, 0.034, 0.034, 0.033, 0.033, 0.031, 0.007, 0.007, 0.007, 0.007, 0.007
58, 0.018, 0.018, 0.022, 0.018, 0.018, 0.019, 0.018, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.020, 0.017, 0.021, 0.023, 0.022, 0.024, 0.022, 0.057, 0.053, 0.058, 0.054, 0.054, 0.010, 0.009, 0.010, 0.010, 0.013
